UF,Município,Tipo Unidade,Tipo Estabelecimento,Natureza Jurídica,Status Unidade,Conexão Internet,NU_LATITUDE,NU_LONGITUDE
AC,santa rosa do purus,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9433,-70493
AC,cruzeiro do sul,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-746273042075501,-72957458
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101669061,-67719391
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101411792,-67731158
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101515844714302,-67738169
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9888544,-67439725
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9973555,-67178109
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9841307,-67284073
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101049865034783,-67656319
AC,senador guiomard,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101501805,-67731296
AC,tarauaca,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-816101,-7076601
AC,tarauaca,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-816136624218305,-70765922
AC,tarauaca,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-816104,-7076604
AC,tarauaca,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-816107,-7076607
AC,mancio lima,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-750800322240718,-72908513
AC,rio branco,2,UNIDADE BASICA DE SAUDE,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL,Habilitada,Não Conectada,-998448917451658,-67804141
AC,tarauaca,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-816102,-7076602
AC,rodrigues alves,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-783753381704972,-72689323
AC,rodrigues alves,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-774467191983689,-72680397
AC,rodrigues alves,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-785368899815152,-72735307
AC,assis brasil,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-109360944224249,-69616396
AL,coite do noia,74,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-962548171683364,-36586124
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-94114816,-36073645
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-93901751,-36087315
AL,uniao dos palmares,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9163,-36032
AL,uniao dos palmares,71,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-91576807,-36034225
AL,agua branca,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-91543,-375617
AL,barra de santo antonio,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940090460150496,-35508713
AL,barra de santo antonio,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940608050227204,-35516095
AL,branquinha,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9249094,-36002444
AL,branquinha,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9215344,-35996435
AL,branquinha,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9219816,-36057398
AL,branquinha,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-924713,-3601305
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-961771752754431,-36766948
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-961773868361573,-36767334
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96165611,-36765306
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-961780215182209,-36766755
AL,craibas,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-961797140031414,-36767249
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9652358807999,-36714218
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-95777478,-36987092
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9619689,-36769729
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-961769637147154,-36766927
AL,craibas,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96157315,-36761143
AL,delmiro gouveia,4,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9387652,-38013242
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9377294,-38064629
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9359335,-38083081
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9267637,-38128296
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9268712,-38124523
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9432191,-38043619
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9413629,-38029153
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9431897,-38042628
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9350759,-38199385
AL,delmiro gouveia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-941014,-38021307
AL,delmiro gouveia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9387756,-38000369
AL,estrela de alagoas,74,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-939,-3676
AL,feira grande,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-99,-36678
AL,junqueiro,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-993877596121615,-3648714
AL,junqueiro,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-992710887361019,-36474716
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9730801,-36448097
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9798304,-3652187
AL,monteiropolis,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-960864145084088,-37251291
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-931058117742472,-3594598
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-931977364712752,-35937201
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-930915980362341,-35940002
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-931460969522028,-359437
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940278338834314,-35877082
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-931017091183715,-35939873
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-931453823046042,-35943526
AL,murici,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-929597807302279,-35960993
AL,olivenca,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-951890428376684,-37190244
AL,pariconha,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9254,-38006
AL,piranhas,74,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9600142,-3777077
AL,poco das trincheiras,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-93498562,-37427078
AL,poco das trincheiras,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9357197,-37365088
AL,porto real do colegio,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10181639308777,-36829004
AL,santana do ipanema,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-938365104007101,-37241013
AL,santana do mundau,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-918344737101288,-36223726
AL,sao sebastiao,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9934,-36554
AL,sao sebastiao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9934,-36599545
AL,sao sebastiao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-95718,-3632104
AL,sao sebastiao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9879507,-36582698
AL,sao sebastiao,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10031244,-36574412
AL,vicosa,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-937219758822697,-36227889
AL,vicosa,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-938002556595202,-36243757
AL,coite do noia,74,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-963424001591341,-36580352
AL,cacimbinhas,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-944228846962468,-36912946
AL,santa luzia do norte,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96006231,-35823322
AL,santa luzia do norte,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-960267522586279,-35820257
AL,poco das trincheiras,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9291254,-37235986
AL,sao luis do quitunde,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9318,-35561
AL,penedo,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-1029,-36586
AL,agua branca,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-926204739327913,-37937958
AL,agua branca,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-926236506191609,-37938215
AL,anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96840837,-36300813
AL,anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9684,-36304
AL,barra de santo antonio,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940522844213317,-35506138
AL,barra de santo antonio,71,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940613342519281,-35501439
AL,barra de santo antonio,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940736123468097,-35498435
AL,barra de santo antonio,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-943435606398596,-35520974
AL,batalha,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9678,-37125
AL,belem,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-959042509412496,-36459331
AL,belo monte,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-987737,-37246424
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9613628,-36242418
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-964686933685529,-36205723
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-968371801539372,-36214671
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-965600255849746,-36112892
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-963842868732409,-36215937
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-965049727040168,-36206892
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-964833955369865,-36214327
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-964056002415353,-36219204
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96635120282584,-36141141
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-964378080289027,-36215465
AL,boca da mata,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-966104238310025,-36136291
AL,cajueiro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-939684,-36145315
AL,cajueiro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-939463837674319,-36156274
AL,cajueiro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940007369815719,-36146339
AL,cajueiro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-940067173707367,-36141436
AL,cajueiro,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-939675535725452,-36154053
AL,campestre,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-8846,-35568
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-99582148983331,-36792196
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9958,-36792
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-995811450994791,-36791946
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-995809337554709,-3679214
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-995815677874544,-36792054
AL,campo grande,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-995771295609831,-3678847
AL,canapi,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9127,-37605
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-94115973,-36076203
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-92735878,-36141567
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-94047339,-36085725
AL,capela,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-94116251,-36076099
AL,cha preta,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-925478329209056,-36295952
AL,cha preta,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-925484682715401,-3629606
AL,cha preta,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-925486800550593,-36296017
AL,cha preta,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-925493154055406,-36296038
AL,coite do noia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9598707,-36558879
AL,coite do noia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9654662,-36585432
AL,coite do noia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9638633,-3656525
AL,coite do noia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9660161,-36568547
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890843351999971,-35722689
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-89109367,-35725167
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890836992350419,-3572299
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890836992350419,-35722196
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890894229156559,-35723204
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890885749635379,-35722453
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890875150231137,-35722346
AL,colonia leopoldina,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-890858191177957,-35722088
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101308422411271,-36179695
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10131644918598,-36177055
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101640671821056,-36183986
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10211543490525,-36210594
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10131687164725,-36172871
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101316026724654,-36178815
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101314970571096,-36177742
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-102145844364033,-36178665
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101274836478133,-36185252
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101317294108465,-36176497
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101317082877864,-36176476
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101313069493815,-36175425
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10490790980367,-36359252
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-104540513344594,-36017303
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-101317505339051,-36176047
AL,coruripe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-10131349195553,-3617418
AL,dois riachos,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9854054,-37015687
AL,jacare dos homens,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-964170661483677,-37202217
AL,jacare dos homens,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-96425142,-37206088
AL,jacare dos homens,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9701018,-37246564
AL,jacuipe,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-8925721,-35457075
AL,japaratinga,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-904048885379107,-35287281
AL,japaratinga,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-912247851083565,-35275168
AL,japaratinga,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9088,-35258
AL,jaramataia,71,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9659,-37002
AL,jequia da praia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-996479291203805,-35978507
AL,junqueiro,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-992683410022919,-36475059
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9735576,-3650201
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-97357477204877,-36500508
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9716742,-36445254
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9741,-36503
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9662411,-36425011
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9753335,-36449277
AL,limoeiro de anadia,1,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9705934,-36513571
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9741569,-36477016
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-9669685,-3646506
AL,limoeiro de anadia,2,UNIDADE BASICA DE SAUDE,MUNICIPIO,Habilitada,Não Conectada,-974101369082574,-36502976
